dataset,experiment,environment,label,spp,Country,Region,Region_4,Lat,Lon,Alt,Pop_Ind,Pop,Ind,block,treatment,germDate,survival,flDate_1,flDate_2,no_fl ,height,no_stem,no_buds,frDate_1,SowDate
Durham,vernalisation,ASK,star,bienne,Spain,Spain North,Spain North,43.407375,-4.687527778,26,Lla_43_A,Lla,43_A,8,Control,05/02/2019,1,06/10/2019,14/10/2019,2,58,18,1,03/12/2019,23/01/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain North,Spain North,43.407375,-4.687527778,26,Lla_B,Lla,B,2,Control,05/02/2019,1,05/09/2019,10/09/2019,2,33,26,1,NA,23/01/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain North,Spain North,43.407375,-4.687527778,26,Lla_C,Lla,C,6,Control,09/05/2019,1,27/11/2019,NA,2,43,25,5,NA,30/04/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain North,Spain North,43.407375,-4.687527778,26,Lla_C,Lla,C,7,Control,05/02/2019,1,31/08/2019,06/09/2019,2,28,14,3,25/09/2019,23/01/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain North,Spain North,43.46278333,-3.653308333,50,15_17,15,17,7,Control,05/02/2019,1,06/07/2019,11/07/2019,1,26.5,7,3,26/07/2019,23/01/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain North,Spain North,43.46278333,-3.653308333,50,15_17,15,17,3_1,Control,13/05/2019,1,24/09/2019,04/10/2019,2,23,8,3,01/11/2019,30/04/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain North,Spain North,43.46278333,-3.653308333,50,15_18,15,18,6,Control,13/05/2019,1,06/11/2019,20/11/2019,2,18,10,3,NA,30/04/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain North,Spain North,43.46278333,-3.653308333,50,15_18,15,18,8,Control,05/02/2019,1,15/07/2019,NA,1,45,30,1,19/08/2019,23/01/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain North,Spain North,43.46278333,-3.653308333,50,15_28,15,28,1,Control,05/02/2019,1,29/09/2019,NA,1,29.5,2,0,NA,23/01/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain North,Spain North,43.46278333,-3.653308333,50,15_30,15,30,3,Control,05/02/2019,1,08/08/2019,13/08/2019,2,32,5,1,NA,23/01/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain North,Spain North,43.46278333,-3.653308333,50,15_30,15,30,7,Control,08/05/2019,1,06/11/2019,12/11/2019,2,41,15,1,09/12/2019,30/04/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South A,Spain South,36.03633333,-5.555888889,186,3_11,3,11,4,Control,05/02/2019,1,14/08/2019,NA,1,49.5,12,5,NA,23/01/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain South A,Spain South,36.03633333,-5.555888889,186,3_13,3,13,1,Control,10/05/2019,1,14/10/2019,17/10/2019,1,41.5,10,2,01/11/2019,30/04/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South A,Spain South,36.03633333,-5.555888889,186,3_13,3,13,6,Control,05/02/2019,1,11/07/2019,20/07/2019,2,29.5,3,1,NA,23/01/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South A,Spain South,36.03633333,-5.555888889,186,3_13,3,13,2*,Control,05/02/2019,1,17/08/2019,18/08/2019,2,31,3,2,09/09/2019,23/01/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain South A,Spain South,36.03633333,-5.555888889,186,3_14,3,14,1,Control,08/05/2019,1,15/10/2019,NA,1,35.5,10,0,NA,30/04/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South A,Spain South,36.03633333,-5.555888889,186,3_14,3,14,2,Control,05/02/2019,1,03/06/2019,08/06/2019,3,43,4,2,NA,23/01/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain South A,Spain South,36.03633333,-5.555888889,186,3_15,3,15,4,Control,10/05/2019,1,09/09/2019,13/09/2019,1,27,3,2,NA,30/04/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South A,Spain South,36.03633333,-5.555888889,186,3_15,3,15,5,Control,05/02/2019,1,13/08/2019,15/08/2019,2,40.5,4,2,09/09/2019,23/01/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South A,Spain South,36.08091667,-5.625527778,41,2_3,2,3,3,Control,05/02/2019,1,25/05/2019,NA,NA,26.5,3,1,29/07/2019,23/01/2019
